ID_ZLECENIA_PALONA;DTZAPIS;ILOSC_PALONA;NUMERZASYPU;IDZLECENIE;NUMERPIECA;Anulowany;Zagubiona;SUMA_ZIELONEJ;QuantityError;PREV_ILOSC_PALONA;Posted;ZbiornikKawyPalonej;LockedByEditor;dtLastEdited;ExternalErrorCleaner;READJUSTED_BY;TruckNo1;TruckNo2;dtRoastingStart;dtRoastingFinish;ikWh_counter_start;ikWh_counter_finish;im3_counter_start;im3_counter_finish;ikWh_multiplier;im3_multiplier;ikWh_unit_name;im3_unit_name;ikWh_consumption;im3_consumption;ikWh_counter1_start;ikWh_counter1_finish;ikWh_multiplier1;ikWh_unit_name1;ikWh_consumption1;ikWh_total_consumption;lTriggerCounter
1206794;2024-01-10 07:34:14.000;338,1;1;138623;3000;0;NULL;400,7;0;338,1;1;654;NULL;2024-01-10 08:03:50.113;NULL;NULL;NULL;NULL;2024-01-10 07:42:00.387;2024-01-10 07:51:58.553;1115681;1115704;502487;502496;1;1;kWh;m3;23;9;NULL;NULL;NULL;NULL;NULL;23;301
1206793;2024-01-10 07:12:09.197;515,8;3;138622;4000;0;NULL;601,5;0;515,8;1;638;NULL;2024-01-10 07:47:50.180;NULL;NULL;NULL;NULL;2024-01-10 07:34:18.163;2024-01-10 07:42:00.283;3858609;3858620;15133203;15134542;1;1;kWh;m3;11;1339;10919678;10920029;0,01;kWh;3,51;14,51;2040
1206792;2024-01-10 07:07:03.543;333,6;7;138621;3000;0;NULL;400;0;333,6;0;621;NULL;2024-01-10 07:46:56.577;NULL;NULL;NULL;NULL;2024-01-10 07:31:59.903;2024-01-10 07:38:55.437;1115658;1115673;502474;502486;1;1;kWh;m3;15;12;NULL;NULL;NULL;NULL;NULL;15;299
1206791;2024-01-10 07:03:02.157;514,5;2;138622;4000;0;NULL;601,6;0;514,5;0;638;NULL;2024-01-10 07:30:56.643;NULL;NULL;NULL;NULL;2024-01-10 07:17:58.360;2024-01-10 07:25:58.110;3858591;3858602;15131844;15133203;1;1;kWh;m3;11;1359;10919252;10919480;0,01;kWh;2,28;13,28;2039
1206790;2024-01-10 06:58:58.410;346,6;6;138621;3000;0;NULL;399,9;0;346,6;1;621;NULL;2024-01-10 07:21:50.230;NULL;NULL;NULL;NULL;2024-01-10 07:06:16.467;2024-01-10 07:13:08.830;1115598;1115614;502461;502470;1;1;kWh;m3;16;9;NULL;NULL;NULL;NULL;NULL;16;297
1206789;2024-01-10 06:55:26.000;519,5;1;138622;4000;0;NULL;601,7;0;519,5;0;638;NULL;2024-01-10 07:15:57.717;NULL;NULL;NULL;NULL;2024-01-10 07:03:13.870;2024-01-10 07:10:53.667;3858574;3858584;15130468;15131844;1;1;kWh;m3;10;1376;10918983;10919117;0,01;kWh;1,34;11,34;2038
1206788;2024-01-10 06:51:16.667;346,3;5;138621;3000;0;NULL;400;0;346,3;1;621;NULL;2024-01-10 07:13:50.247;NULL;NULL;NULL;NULL;2024-01-10 06:58:22.610;2024-01-10 07:05:05.000;1115579;1115596;502451;502460;1;1;kWh;m3;17;9;NULL;NULL;NULL;NULL;NULL;17;295
1206787;2024-01-10 06:43:45.633;347,4;4;138621;3000;0;NULL;400,5;0;347,4;1;621;NULL;2024-01-10 07:05:50.303;NULL;NULL;NULL;NULL;2024-01-10 06:50:37.840;2024-01-10 06:57:49.790;1115561;1115578;502442;502451;1;1;kWh;m3;17;9;NULL;NULL;NULL;NULL;NULL;17;293
1206786;2024-01-10 06:36:06.067;347,3;3;138621;3000;0;NULL;400,5;0;347,3;0;621;NULL;2024-01-10 06:58:52.493;NULL;NULL;NULL;NULL;2024-01-10 06:43:12.880;2024-01-10 06:50:05.593;1115545;1115561;502432;502442;1;1;kWh;m3;16;10;NULL;NULL;NULL;NULL;NULL;16;291
1206785;2024-01-10 06:28:31.207;347,3;2;138621;3000;0;NULL;400,4;0;347,3;0;621;NULL;2024-01-10 06:50:56.800;NULL;NULL;NULL;NULL;2024-01-10 06:35:29.073;2024-01-10 06:42:33.403;1115528;1115543;502422;502432;1;1;kWh;m3;15;10;NULL;NULL;NULL;NULL;NULL;15;289
1206784;2024-01-10 06:14:41.000;347,3;1;138621;3000;0;NULL;400;0;347,3;1;621;NULL;2024-01-10 06:43:50.037;NULL;NULL;NULL;NULL;2024-01-10 06:28:10.877;2024-01-10 06:34:51.303;1115512;1115527;502411;502422;1;1;kWh;m3;15;11;NULL;NULL;NULL;NULL;NULL;15;287
1206783;2024-01-10 05:48:18.430;342,1;11;138620;3000;0;NULL;400,4;0;342;0;650;NULL;2024-01-10 06:22:51.617;NULL;NULL;204;NULL;2024-01-10 05:55:09.273;2024-01-10 06:01:26.167;1115434;1115449;502397;502405;1;1;kWh;m3;15;8;NULL;NULL;NULL;NULL;NULL;15;285
1206782;2024-01-10 05:39:07.180;343;10;138620;3000;0;NULL;401;0;342,7;0;650;NULL;2024-01-10 06:19:39.650;NULL;NULL;204;NULL;2024-01-10 05:47:42.257;2024-01-10 05:53:32.230;1115420;1115431;502388;502396;1;1;kWh;m3;11;8;NULL;NULL;NULL;NULL;NULL;11;283
1206781;2024-01-10 05:31:45.677;343;9;138620;3000;0;NULL;401,3;0;342,8;0;650;NULL;2024-01-10 06:05:09.453;NULL;NULL;5;NULL;2024-01-10 05:38:33.920;2024-01-10 05:45:20.727;1115399;1115414;502379;502388;1;1;kWh;m3;15;9;NULL;NULL;NULL;NULL;NULL;15;281
1206780;2024-01-10 05:29:01.720;519,7;17;138619;4000;0;NULL;599,6;0;519,7;0;649;NULL;2024-01-10 06:42:53.443;NULL;NULL;NULL;NULL;2024-01-10 05:45:09.907;2024-01-10 05:52:11.553;3858502;3858510;15129208;15130433;1;1;kWh;m3;8;1225;10917639;10917751;0,01;kWh;1,12;9,12;2037
1206779;2024-01-10 05:24:34.243;343,8;8;138620;3000;0;NULL;402,3;0;343,8;1;654;NULL;2024-01-10 05:45:50.367;NULL;NULL;NULL;NULL;2024-01-10 05:31:02.783;2024-01-10 05:37:41.440;1115380;1115397;502370;502379;1;1;kWh;m3;17;9;NULL;NULL;NULL;NULL;NULL;17;279
1206778;2024-01-10 05:19:15.417;516,6;16;138619;4000;0;NULL;599,6;0;516,6;1;652;NULL;2024-01-10 05:49:50.740;NULL;NULL;NULL;NULL;2024-01-10 05:36:41.343;2024-01-10 05:44:33.970;3858488;3858501;15127950;15129208;1;1;kWh;m3;13;1258;10917332;10917625;0,01;kWh;2,93;15,93;2036
1206777;2024-01-10 05:16:50.670;342,8;7;138620;3000;0;NULL;401,1;0;342,8;1;653;NULL;2024-01-10 05:38:49.780;NULL;NULL;NULL;NULL;2024-01-10 05:23:56.413;2024-01-10 05:30:08.927;1115364;1115380;502362;502370;1;1;kWh;m3;16;8;NULL;NULL;NULL;NULL;NULL;16;277
1206776;2024-01-10 05:09:28.573;342,9;6;138620;3000;0;NULL;401,3;0;342,9;0;653;NULL;2024-01-10 05:31:08.773;NULL;NULL;NULL;NULL;2024-01-10 05:16:17.183;2024-01-10 05:22:47.427;1115347;1115361;502353;502361;1;1;kWh;m3;14;8;NULL;NULL;NULL;NULL;NULL;14;275
1206775;2024-01-10 05:01:56.763;343,1;5;138620;3000;0;NULL;401,2;0;343,1;1;653;NULL;2024-01-10 05:23:50.383;NULL;NULL;NULL;NULL;2024-01-10 05:08:48.317;2024-01-10 05:15:31.693;1115329;1115345;502344;502353;1;1;kWh;m3;16;9;NULL;NULL;NULL;NULL;NULL;16;273
1206774;2024-01-10 04:56:16.313;516,7;15;138619;4000;0;NULL;599,6;0;516,7;1;652;NULL;2024-01-10 05:40:50.793;NULL;NULL;NULL;NULL;2024-01-10 05:28:25.327;2024-01-10 05:35:58.173;3858478;3858488;15126677;15127950;1;1;kWh;m3;10;1273;10917193;10917332;0,01;kWh;1,39;11,39;2035
1206773;2024-01-10 04:54:16.067;342,6;4;138620;3000;0;NULL;400,5;0;342,6;0;654;NULL;2024-01-10 05:15:59.007;NULL;NULL;NULL;NULL;2024-01-10 05:01:25.613;2024-01-10 05:08:04.240;1115314;1115329;502336;502344;1;1;kWh;m3;15;8;NULL;NULL;NULL;NULL;NULL;15;272
1206772;2024-01-10 04:46:04.950;345,8;3;138620;3000;0;NULL;404,2;0;345,8;0;654;NULL;2024-01-10 05:08:51.610;NULL;NULL;NULL;NULL;2024-01-10 04:53:44.333;2024-01-10 05:00:40.627;1115295;1115312;502326;502336;1;1;kWh;m3;17;10;NULL;NULL;NULL;NULL;NULL;17;270
1206771;2024-01-10 04:44:09.703;517;14;138619;4000;0;NULL;599,9;0;517;0;652;NULL;2024-01-10 05:30:06.360;NULL;NULL;NULL;NULL;2024-01-10 05:17:18.173;2024-01-10 05:25:01.773;3858465;3858474;15125386;15126677;1;1;kWh;m3;9;1291;10917002;10917126;0,01;kWh;1,24;10,24;2034
1206770;2024-01-10 04:32:55.900;343;2;138620;3000;0;NULL;402,1;0;343;1;654;NULL;2024-01-10 04:59:49.980;NULL;NULL;NULL;NULL;2024-01-10 04:44:40.773;2024-01-10 04:51:27.027;1115276;1115291;502315;502325;1;1;kWh;m3;15;10;NULL;NULL;NULL;NULL;NULL;15;268
1206769;2024-01-10 04:23:36.447;515,5;13;138619;4000;0;NULL;599,6;0;515,5;0;652;NULL;2024-01-10 05:14:55.387;NULL;NULL;NULL;NULL;2024-01-10 04:54:34.837;2024-01-10 05:02:31.297;3858441;3858451;15124111;15125386;1;1;kWh;m3;10;1275;10916608;10916745;0,01;kWh;1,37;11,37;2033
1206768;2024-01-10 04:21:01.000;345,4;1;138620;3000;0;NULL;401,9;0;345,4;1;654;NULL;2024-01-10 04:51:49.780;NULL;NULL;NULL;NULL;2024-01-10 04:32:21.017;2024-01-10 04:39:21.583;1115248;1115264;502302;502313;1;1;kWh;m3;16;11;NULL;NULL;NULL;NULL;NULL;16;266
1206767;2024-01-10 04:08:45.210;517,1;12;138619;4000;0;NULL;599,7;0;517,1;1;652;NULL;2024-01-10 04:56:50.280;NULL;NULL;NULL;NULL;2024-01-10 04:43:30.990;2024-01-10 04:51:24.280;3858428;3858437;15122826;15124111;1;1;kWh;m3;9;1285;10916421;10916552;0,01;kWh;1,31;10,31;2032
1206766;2024-01-10 04:07:08.923;348,4;11;138618;3000;0;NULL;402,3;0;348,4;1;650;NULL;2024-01-10 04:34:50.723;NULL;NULL;7;NULL;2024-01-10 04:17:47.620;2024-01-10 04:25:50.393;1115215;1115233;502290;502300;1;1;kWh;m3;18;10;NULL;NULL;NULL;NULL;NULL;18;264
1206765;2024-01-10 04:00:06.787;519,9;11;138619;4000;0;NULL;599,7;0;519,9;0;652;NULL;2024-01-10 04:42:50.693;NULL;NULL;NULL;NULL;2024-01-10 04:22:47.137;2024-01-10 04:30:48.040;3858405;3858416;15121553;15122826;1;1;kWh;m3;11;1273;10915929;10916195;0,01;kWh;2,66;13,66;2031
1206764;2024-01-10 03:58:10.840;348,1;10;138618;3000;0;NULL;401,5;0;348,1;1;650;NULL;2024-01-10 04:22:50.257;NULL;NULL;7;NULL;2024-01-10 04:06:24.053;2024-01-10 04:14:22.677;1115187;1115206;502280;502289;1;1;kWh;m3;19;9;NULL;NULL;NULL;NULL;NULL;19;262
1206763;2024-01-10 03:51:05.300;519,3;10;138619;4000;0;NULL;599,7;0;519,3;1;652;NULL;2024-01-10 06:55:31.037;1;24;NULL;NULL;2024-01-10 04:07:12.567;2024-01-10 04:14:47.847;3858387;3858397;15120306;15121553;1;1;kWh;m3;10;1247;10915660;10915792;0,01;kWh;1,32;11,32;NULL
1206762;2024-01-10 03:49:24.690;347,8;9;138618;3000;0;NULL;400,9;0;348;0;649;NULL;2024-01-10 04:13:53.887;NULL;NULL;1;NULL;2024-01-10 03:57:34.407;2024-01-10 04:05:23.520;1115167;1115186;502271;502280;1;1;kWh;m3;19;9;NULL;NULL;NULL;NULL;NULL;19;260
1206761;2024-01-10 03:42:38.223;516,3;9;138619;4000;0;NULL;599,7;0;516,3;1;652;NULL;2024-01-10 04:16:50.370;NULL;NULL;NULL;NULL;2024-01-10 03:58:34.527;2024-01-10 04:06:23.953;3858375;3858385;15119053;15120306;1;1;kWh;m3;10;1253;10915510;10915641;0,01;kWh;1,31;11,31;2030
